title,budget,popularity,runtime,vote_count,vote_average,poster_path
Minions,74000000,875.581305,91.0,4571,6.4,https://media.themoviedb.org/t/p/w300_and_h450_face/dr02BdCNAUPVU07aOodwPYv6HCf.jpg
Interstellar,165000000,724.247784,169.0,10867,8.1,https://media.themoviedb.org/t/p/w300_and_h450_face/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg
Deadpool,58000000,514.569956,108.0,10995,7.4,https://media.themoviedb.org/t/p/w300_and_h450_face/3E53WEZJqP6aM84D8CckXx4pIHw.jpg
Guardians of the Galaxy,170000000,481.098624,121.0,9742,7.9,https://media.themoviedb.org/t/p/w300_and_h450_face/r7vmZjiyZw9rpJMQJdXpjgiCOk9.jpg
Mad Max: Fury Road,150000000,434.278564,120.0,9427,7.2,https://media.themoviedb.org/t/p/w300_and_h450_face/hA2ple9q4qnwxp3hKVNhroipsir.jpg
Jurassic World,150000000,418.708552,124.0,8662,6.5,https://media.themoviedb.org/t/p/w300_and_h450_face/rhr4y79GpxQF9IsfJItRXVaoGs4.jpg
Pirates of the Caribbean: The Curse of the Black Pearl,140000000,271.972889,143.0,6985,7.5,https://media.themoviedb.org/t/p/w300_and_h450_face/poHwCZeWzJCShH7tOjg8RIoyjcw.jpg
Dawn of the Planet of the Apes,170000000,243.791743,130.0,4410,7.3,https://media.themoviedb.org/t/p/w300_and_h450_face/kScdQEwS9jPEdnO23XjGAtaoRcT.jpg
The Hunger Games: Mockingjay - Part 1,125000000,206.227151,123.0,5584,6.6,https://media.themoviedb.org/t/p/w300_and_h450_face/4FAA18ZIja70d1Tu5hr5cj2q1sB.jpg
Big Hero 6,165000000,203.73459,102.0,6135,7.8,https://media.themoviedb.org/t/p/w300_and_h450_face/2mxS4wUimwlLmI1xp6QW6NSU361.jpg
Terminator Genisys,155000000,202.042635,126.0,3631,5.8,https://media.themoviedb.org/t/p/w300_and_h450_face/oZRVDpNtmHk8M1VYy1aeOWUXgbC.jpg
Captain America: Civil War,250000000,198.372395,147.0,7241,7.1,https://media.themoviedb.org/t/p/w300_and_h450_face/rAGiXaUfPzY7CDEyNKUofk3Kw2e.jpg
Whiplash,3300000,192.528841,105.0,4254,8.3,https://media.themoviedb.org/t/p/w300_and_h450_face/7fn624j5lj3xTme2SgiLCeuedmO.jpg
The Dark Knight,185000000,187.322927,152.0,12002,8.2,https://media.themoviedb.org/t/p/w300_and_h450_face/qJ2tW6WMUDux911r6m7haRef0WH.jpg
The Martian,108000000,167.93287,141.0,7268,7.6,https://media.themoviedb.org/t/p/w300_and_h450_face/3ndAx3weG6KDkJIRMCi5vXX6Dyb.jpg
Inception,160000000,167.58371,148.0,13752,8.1,https://media.themoviedb.org/t/p/w300_and_h450_face/xlaY2zyzMfkhk0HSC5VUwzoZPU1.jpg
Frozen,150000000,165.125366,102.0,5295,7.3,https://media.themoviedb.org/t/p/w300_and_h450_face/kgwjIb2JDHRhNk13lmSxiClFjVk.jpg
Batman v Superman: Dawn of Justice,250000000,155.790452,151.0,7004,5.7,https://media.themoviedb.org/t/p/w300_and_h450_face/5UsK3grJvtQrtzEgqNlDljJW96w.jpg
Avatar,237000000,150.437577,162.0,11800,7.2,https://media.themoviedb.org/t/p/w300_and_h450_face/gKY6q7SjCkAU6FqvqWybDYgUKIF.jpg
Fight Club,63000000,146.757391,139.0,9413,8.3,https://media.themoviedb.org/t/p/w300_and_h450_face/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg
Pirates of the Caribbean: Dead Man's Chest,200000000,145.847379,151.0,5246,7.0,https://media.themoviedb.org/t/p/w300_and_h450_face/uXEqmloGyP7UXAiphJUu2v2pcuE.jpg
The Imitation Game,14000000,145.364591,113.0,5723,8.0,https://media.themoviedb.org/t/p/w300_and_h450_face/zSqJ1qFq8NXFfi7JeIYMlzyR0dx.jpg
The Avengers,220000000,144.448633,143.0,11776,7.4,https://media.themoviedb.org/t/p/w300_and_h450_face/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg
The Godfather,6000000,143.659698,175.0,5893,8.4,https://media.themoviedb.org/t/p/w300_and_h450_face/3bhkrj58Vtu7enYsRolD1fZdja1.jpg
Teenage Mutant Ninja Turtles,125000000,143.350376,101.0,2636,5.8,https://media.themoviedb.org/t/p/w300_and_h450_face/azL2ThbJMIkts3ZMt3j1YgBUeDB.jpg
Gone Girl,61000000,143.041543,145.0,5862,7.9,https://media.themoviedb.org/t/p/w300_and_h450_face/ts996lKsxvjkO2yiYG0ht4qAicO.jpg
Pixels,88000000,140.849495,105.0,2513,5.6,https://media.themoviedb.org/t/p/w300_and_h450_face/d26S5EfVXLNxRXqyFy1yyl3qRq3.jpg
Fury,68000000,139.575085,135.0,3946,7.4,https://media.themoviedb.org/t/p/w300_and_h450_face/pfte7wdMobMF4CVHuOxyu6oqeeA.jpg
